 ,Area,Mean,Min,Max,X,Y
1,0,158,158,158,78.00,2.00
2,0,168,168,168,98.50,18.50
3,0,172,172,172,96.50,39.50
4,0,165,165,165,86.50,55.50
5,0,160,160,160,46.50,50.50
6,0,155,155,155,35.50,63.50
7,0,166,166,166,57.50,67.50
8,0,157,157,157,25.50,72.50
9,0,164,164,164,45.50,83.50
10,0,163,163,163,74.50,92.50
11,0,165,165,165,109.50,105.50
12,0,162,162,162,73.50,105.50
13,0,162,162,162,50.50,113.50
14,0,161,161,161,17.50,109.50
15,0,161,161,161,19.50,98.50
16,0,161,161,161,20.50,88.50
17,0,161,161,161,47.50,100.50
18,0,165,165,165,41.50,134.50
19,0,171,171,171,86.50,142.50
20,0,175,175,175,102.50,159.50
21,0,171,171,171,66.50,158.50
22,0,164,164,164,38.50,150.50
23,0,159,159,159,22.50,153.50
24,0,161,161,161,38.50,166.50
25,0,160,160,160,27.50,180.50
26,0,164,164,164,80.50,197.50
27,0,166,166,166,116.50,187.50
28,0,171,171,171,103.50,241.50
29,0,179,179,179,106.50,215.50
30,0,163,163,163,15.50,203.50
31,0,162,162,162,5.50,216.50
32,0,165,165,165,15.50,251.50
33,0,164,164,164,42.50,264.50
34,0,165,165,165,87.50,281.50
35,0,155,155,155,22.50,284.50
36,0,156,156,156,15.50,303.50
37,0,168,168,168,18.50,348.50
